index;id;x;y;lote;quadra;idLote;idQuadra
1833;4772;255150;7241760;L3159;Q34;0;1
1859;4798;255195;7241790;L3159;Q34;0;1
1861;4800;255210;7241700;L3159;Q34;0;1
1884;4815;254970;7241550;L3170;Q34;1;1
1901;4831;255015;7241595;L3170;Q34;1;1
1903;138;254895;7241505;L3171;Q34;2;1
1904;129;254865;7241490;L3171;Q34;2;1
1905;130;254865;7241505;L3171;Q34;2;1
1906;131;254880;7241475;L3171;Q34;2;1
1907;132;254880;7241490;L3171;Q34;2;1
1908;133;254880;7241505;L3171;Q34;2;1
1909;134;254895;7241445;L3171;Q34;2;1
1910;135;254895;7241460;L3171;Q34;2;1
1911;136;254895;7241475;L3171;Q34;2;1
1912;137;254895;7241490;L3171;Q34;2;1
1913;139;254910;7241415;L3171;Q34;2;1
1914;140;254910;7241430;L3171;Q34;2;1
1915;141;254910;7241445;L3171;Q34;2;1
1916;142;254910;7241460;L3171;Q34;2;1
1917;143;254910;7241475;L3171;Q34;2;1
1918;144;254910;7241490;L3171;Q34;2;1
1919;145;254910;7241505;L3171;Q34;2;1
1920;146;254925;7241400;L3171;Q34;2;1
1921;147;254925;7241415;L3171;Q34;2;1
1922;148;254925;7241430;L3171;Q34;2;1
1923;149;254925;7241445;L3171;Q34;2;1
1924;150;254925;7241460;L3171;Q34;2;1
1925;151;254925;7241475;L3171;Q34;2;1
1926;152;254925;7241490;L3171;Q34;2;1
1927;153;254925;7241505;L3171;Q34;2;1
1928;154;254940;7241400;L3171;Q34;2;1
1929;155;254940;7241415;L3171;Q34;2;1
1930;156;254940;7241430;L3171;Q34;2;1
1931;157;254940;7241445;L3171;Q34;2;1
1932;158;254940;7241460;L3171;Q34;2;1
1933;159;254940;7241475;L3171;Q34;2;1
1934;160;254940;7241490;L3171;Q34;2;1
1935;161;254940;7241505;L3171;Q34;2;1
1936;162;254955;7241400;L3171;Q34;2;1
1937;163;254955;7241415;L3171;Q34;2;1
1938;164;254955;7241430;L3171;Q34;2;1
1939;165;254955;7241445;L3171;Q34;2;1
1940;166;254955;7241460;L3171;Q34;2;1
1941;167;254955;7241475;L3171;Q34;2;1
1942;168;254955;7241490;L3171;Q34;2;1
1943;169;254955;7241505;L3171;Q34;2;1
1944;170;254970;7241400;L3171;Q34;2;1
1945;171;254970;7241415;L3171;Q34;2;1
1946;172;254970;7241430;L3171;Q34;2;1
1947;173;254970;7241445;L3171;Q34;2;1
1948;174;254970;7241460;L3171;Q34;2;1
1949;175;254970;7241475;L3171;Q34;2;1
1950;176;254970;7241490;L3171;Q34;2;1
1951;177;254970;7241505;L3171;Q34;2;1
1952;178;254985;7241400;L3171;Q34;2;1
1953;179;254985;7241415;L3171;Q34;2;1
1954;180;254985;7241430;L3171;Q34;2;1
1955;181;254985;7241445;L3171;Q34;2;1
