Codigo;Min;Max;Descricao
INI001;95;95;Quantidade de Humanos Suscetiveis Bebe Masculino Local
INI002;0;0;Quantidade de Humanos Expostos Bebe Masculino Local
INI003;0;0;Quantidade de Humanos Infectados Bebe Masculino Local
INI004;0;0;Quantidade de Humanos Recuperados Bebe Masculino Local
INI005;12;12;Quantidade de Humanos Suscetiveis Bebe Masculino Aleatorio
INI006;0;0;Quantidade de Humanos Expostos Bebe Masculino Aleatorio
INI007;0;0;Quantidade de Humanos Infectados Bebe Masculino Aleatorio
INI008;0;0;Quantidade de Humanos Recuperados Bebe Masculino Aleatorio
INI009;5;5;Quantidade de Humanos Suscetiveis Bebe Masculino Livre
INI010;0;0;Quantidade de Humanos Expostos Bebe Masculino Livre
INI011;0;0;Quantidade de Humanos Infectados Bebe Masculino Livre
INI012;0;0;Quantidade de Humanos Recuperados Bebe Masculino Livre
INI013;23;23;Quantidade de Humanos Suscetiveis Bebe Masculino Trajeto
INI014;0;0;Quantidade de Humanos Expostos Bebe Masculino Trajeto
INI015;0;0;Quantidade de Humanos Infectados Bebe Masculino Trajeto
INI016;0;0;Quantidade de Humanos Recuperados Bebe Masculino Trajeto
INI017;84;84;Quantidade de Humanos Suscetiveis Crianca Masculino Local
INI018;0;0;Quantidade de Humanos Expostos Crianca Masculino Local
INI019;0;0;Quantidade de Humanos Infectados Crianca Masculino Local
INI020;0;0;Quantidade de Humanos Recuperados Crianca Masculino Local
INI021;68;68;Quantidade de Humanos Suscetiveis Crianca Masculino Aleatorio
INI022;0;0;Quantidade de Humanos Expostos Crianca Masculino Aleatorio
INI023;0;0;Quantidade de Humanos Infectados Crianca Masculino Aleatorio
INI024;0;0;Quantidade de Humanos Recuperados Crianca Masculino Aleatorio
INI025;30;30;Quantidade de Humanos Suscetiveis Crianca Masculino Livre
INI026;0;0;Quantidade de Humanos Expostos Crianca Masculino Livre
INI027;0;0;Quantidade de Humanos Infectados Crianca Masculino Livre
INI028;0;0;Quantidade de Humanos Recuperados Crianca Masculino Livre
INI029;48;48;Quantidade de Humanos Suscetiveis Crianca Masculino Trajeto
INI030;0;0;Quantidade de Humanos Expostos Crianca Masculino Trajeto
INI031;0;0;Quantidade de Humanos Infectados Crianca Masculino Trajeto
INI032;0;0;Quantidade de Humanos Recuperados Crianca Masculino Trajeto
INI033;29;29;Quantidade de Humanos Suscetiveis Adolescente Masculino Local
INI034;0;0;Quantidade de Humanos Expostos Adolescente Masculino Local
INI035;0;0;Quantidade de Humanos Infectados Adolescente Masculino Local
INI036;0;0;Quantidade de Humanos Recuperados Adolescente Masculino Local
INI037;28;28;Quantidade de Humanos Suscetiveis Adolescente Masculino Aleatorio
INI038;0;0;Quantidade de Humanos Expostos Adolescente Masculino Aleatorio
INI039;0;0;Quantidade de Humanos Infectados Adolescente Masculino Aleatorio
INI040;0;0;Quantidade de Humanos Recuperados Adolescente Masculino Aleatorio
INI041;16;16;Quantidade de Humanos Suscetiveis Adolescente Masculino Livre
INI042;0;0;Quantidade de Humanos Expostos Adolescente Masculino Livre
INI043;0;0;Quantidade de Humanos Infectados Adolescente Masculino Livre
INI044;0;0;Quantidade de Humanos Recuperados Adolescente Masculino Livre
INI045;16;16;Quantidade de Humanos Suscetiveis Adolescente Masculino Trajeto
INI046;0;0;Quantidade de Humanos Expostos Adolescente Masculino Trajeto
INI047;0;0;Quantidade de Humanos Infectados Adolescente Masculino Trajeto
INI048;0;0;Quantidade de Humanos Recuperados Adolescente Masculino Trajeto
INI049;93;93;Quantidade de Humanos Suscetiveis Jovem Masculino Local
INI050;0;0;Quantidade de Humanos Expostos Jovem Masculino Local
INI051;0;0;Quantidade de Humanos Infectados Jovem Masculino Local
INI052;0;0;Quantidade de Humanos Recuperados Jovem Masculino Local
INI053;158;158;Quantidade de Humanos Suscetiveis Jovem Masculino Aleatorio
INI054;0;0;Quantidade de Humanos Expostos Jovem Masculino Aleatorio
INI055;0;0;Quantidade de Humanos Infectados Jovem Masculino Aleatorio
INI056;0;0;Quantidade de Humanos Recuperados Jovem Masculino Aleatorio
INI057;50;50;Quantidade de Humanos Suscetiveis Jovem Masculino Livre
INI058;0;0;Quantidade de Humanos Expostos Jovem Masculino Livre
