Codigo;Min;Max;Descricao
CON001;0.60;0.95;Taxa de Infeccao Mosquito
CON002;1.00;1.00;Taxa de Sucesso Infeccao Mosquito
CON003;1.00;1.00;Taxa de Infeccao Humano Suscetivel Bebe
CON004;1.00;1.00;Taxa de Infeccao Humano Suscetivel Crianca
CON005;1.00;1.00;Taxa de Infeccao Humano Suscetivel Adolescente
CON006;1.00;1.00;Taxa de Infeccao Humano Suscetivel Jovem
CON007;1.00;1.00;Taxa de Infeccao Humano Suscetivel Adulto
CON008;1.00;1.00;Taxa de Infeccao Humano Suscetivel Idoso
CON009;1.00;1.00;Taxa de Infeccao Humano Recuperado Bebe
CON010;1.00;1.00;Taxa de Infeccao Humano Recuperado Crianca
CON011;1.00;1.00;Taxa de Infeccao Humano Recuperado Adolescente
CON012;1.00;1.00;Taxa de Infeccao Humano Recuperado Jovem
CON013;1.00;1.00;Taxa de Infeccao Humano Recuperado Adulto
CON014;1.00;1.00;Taxa de Infeccao Humano Recuperado Idoso
CON015;0.60;0.95;Taxa de Sucesso Infeccao Humano
CON016;0.60;0.95;Taxa de Repasto
CON017;1.0;1.0;Constante Complemento H->M
CON018;1.0;1.0;Constante Complemento M->H
CON019;0.1;0.2;Redução Noturna Contato Humanos e Mosquitos
CON020;2;2;Quantidade de Repastos Necessaria para Postura
