Codigo;Min;Max;Descricao
INS001;0;0;Ciclo de Entrada Humanos Suscetiveis
INS002;0;0;Quantidade de Humanos Suscetiveis Masculinos Adultos Trajeto Inseridos
INS003;0;0;Ciclo de Entrada Humanos Infectados com Sorotipo 1 Masculinos Adultos Trajeto
INS004;0;0;Quantidade Humanos com Sorotipo 1 Masculinos Adultos Trajeto Inseridos
INS005;0;0;Ciclo de Entrada Humanos Infectados com Sorotipo 2 Masculinos Adultos Trajeto
INS006;0;0;Quantidade Humanos com Sorotipo 2 Masculinos Adultos Trajeto Inseridos
INS007;0;0;Ciclo de Entrada Humanos Infectados com Sorotipo 3 Masculinos Adultos Trajeto
INS008;0;0;Quantidade Humanos com Sorotipo 3 Masculinos Adultos Trajeto Inseridos
INS009;0;0;Ciclo de Entrada Humanos Infectados com Sorotipo 4 Masculinos Adultos Trajeto
INS010;0;0;Quantidade Humanos com Sorotipo 4 Masculinos Adultos Trajeto Inseridos
