Codigo;Min;Max;Descricao
INI001;240;240;Quantidade de Mosquitos Machos Suscetiveis Nao Alados
INI002;480;480;Quantidade de Mosquitos Machos Suscetiveis Ativos
INI003;120;120;Quantidade de Mosquitos Machos Suscetiveis Decadentes
INI004;288;288;Quantidade de Mosquitos Fêmeas Suscetiveis Nao Aladas
INI005;576;576;Quantidade de Mosquitos Fêmeas Suscetiveis Ativas
INI006;144;144;Quantidade de Mosquitos Fêmeas Suscetiveis Decadentes
INI007;0;0;Quantidade de Mosquitos Machos com Wolbachia Nao Alados
INI008;0;0;Quantidade de Mosquitos Machos com Wolbachia Ativos
INI009;0;0;Quantidade de Mosquitos Machos com Wolbachia Decadentes
INI010;0;0;Quantidade de Mosquitos Fêmeas com Wolbachia Nao Aladas
INI011;0;0;Quantidade de Mosquitos Fêmeas com Wolbachia Ativas
INI012;0;0;Quantidade de Mosquitos Fêmeas com Wolbachia Decadentes
INI013;0;0;Quantidade de Mosquitos Fêmeas Ativas com Dengue Sorotipo 1
INI014;0;0;Quantidade de Mosquitos Fêmeas Ativas com Dengue Sorotipo 2
INI015;0;0;Quantidade de Mosquitos Fêmeas Ativas com Dengue Sorotipo 3
INI016;0;0;Quantidade de Mosquitos Fêmeas Ativas com Dengue Sorotipo 4
INI017;0.1;0.2;Probabilidade Distribuicao Inicial Mosquitos (p = PE, 1 - p = aleatorio)
