Codigo;Min;Max;Descricao
MOV001;0.99;0.99;Taxa de Mobilidade Diurna Mosquito Macho
MOV002;0.99;0.99;Taxa de Mobilidade Diurna Mosquito Femea
MOV003;0.05;0.15;Taxa de Mobilidade Noturna Mosquito Macho
MOV004;0.05;0.15;Taxa de Mobilidade Noturna Mosquito Femea
MOV005;36;36;Raio em metros de Busca da Femea Por Macho
MOV006;36;36;Raio em metros de Busca por Ponto Estrategico
MOV007;3;3;Intervalo em Posturas da Busca por Humano
MOV008;36;36;Raio em metros de Busca por Humano
MOV009;4;4;Deslocamentos no Voo de Levy Curto
MOV010;8;8;Deslocamentos no Voo de Levy Longo
MOV011;3;3;Tentativas na Busca por Macho
MOV012;3;3;Tentativas na Busca por Ponto Estrategico
MOV013;0.01;0.10;Taxa Mobilidade Mosquito com Influencia Tipo Parado
