Codigo;Min;Max;Descricao
CON001;0.90;0.99;Prob Aca Femea Saudavel Ativa e Macho Saudavel Ativo (BETASS22)
CON002;0.80;0.90;Prob Aca Femea Saudavel Ativa e Macho Saudavel Decadente (BETASS23)
CON003;0.30;0.60;Prob Aca Femea Infectada Ativa e Macho Infectado Ativo (BETAII22)
CON004;0.30;0.60;Prob Aca Femea Infectada Ativa e Macho Infectado Decadente (BETAII23)
CON005;0.30;0.60;Prob Aca Femea Infectada Ativa e Macho Saudavel Ativo (BETAIS22)
CON006;0.30;0.60;Prob Aca Femea Infectada Ativa e Macho Saudavel Decadente (BETAIS23)
CON007;0.30;0.60;Prob Aca Femea Saudavel Ativa e Macho Infectado Ativo (BETASI22)
CON008;0.30;0.60;Prob Aca Femea Saudavel Ativa e Macho Infectado Decadente (BETASI23)
CON009;0.70;0.80;Fator de Preferencia para Machos Saudaveis Decadentes (K1)
CON010;0.50;0.50;Fator de Preferencia para Machos Infectados Decadentes (K2)
CON011;0.90;0.99;Taxa de Fecundidade da Femea
CON012;0.1;0.2;Redução Noturna Contato Entre Mosquitos
