Codigo;Min;Max;Descricao
TRA001;0;9;Idade Mosquitos Ovos
TRA002;9;13;Idade Mosquitos Larvas
TRA003;13;15;Idade Mosquitos Pupas
TRA004;15;40;Idade Mosquitos Machos Ativos Saudaveis
TRA005;15;20;Idade Mosquitos Machos Ativos com Wolbachia
TRA006;15;40;Idade Mosquitos Fêmeas Ativas Saudaveis
TRA007;15;20;Idade Mosquitos Fêmeas Ativas com Wolbachia
TRA008;40;56;Idade Mosquitos Machos Decadentes Saudaveis
TRA009;20;30;Idade Mosquitos Machos Decadentes com Wolbachia
TRA010;40;56;Idade Mosquitos Femeas Decadentes Saudaveis
TRA011;20;30;Idade Mosquitos Femeas Decadentes com Wolbachia
TRA012;1.00;1.00;Taxa de Sobrevivencia dos Machos sem Wolbachia da Fase Ovo-Larva
TRA013;1.00;1.00;Taxa de Sobrevivencia dos Machos com Wolbachia da Fase Ovo-Larva
TRA014;1.00;1.00;Taxa de Sobrevivencia das Femeas sem Wolbachia da Fase Ovo-Larva
TRA015;1.00;1.00;Taxa de Sobrevivencia das Femeas com Wolbachia da Fase Ovo-Larva
TRA016;0.95;0.95;Taxa de Sobrevivencia dos Machos sem Wolbachia da Fase Larva-Pupa
TRA017;0.95;0.95;Taxa de Sobrevivencia dos Machos com Wolbachia da Fase Larva-Pupa
TRA018;0.95;0.95;Taxa de Sobrevivencia das Femeas sem Wolbachia da Fase Larva-Pupa
TRA019;0.95;0.95;Taxa de Sobrevivencia das Femeas com Wolbachia da Fase Larva-Pupa
TRA020;0.95;0.95;Taxa de Sobrevivencia dos Machos sem Wolbachia da Fase Pupa-Ativa
TRA021;0.95;0.95;Taxa de Sobrevivencia dos Machos com Wolbachia da Fase Pupa-Ativa
TRA022;0.95;0.95;Taxa de Sobrevivencia das Femeas sem Wolbachia da Fase Pupa-Ativa
TRA023;0.95;0.95;Taxa de Sobrevivencia das Femeas com Wolbachia da Fase Pupa-Ativa
TRA024;0.95;0.95;Taxa de Sobrevivencia dos Machos sem Wolbachia da Fase Ativa-Decadente
TRA025;0.95;0.95;Taxa de Sobrevivencia dos Machos com Wolbachia da Fase Ativa-Decadente
TRA026;0.95;0.95;Taxa de Sobrevivencia das Femeas sem Wolbachia da Fase Ativa-Decadente
TRA027;0.95;0.95;Taxa de Sobrevivencia das Femeas com Wolbachia da Fase Ativa-Decadente
TRA028;8;12;Quantidade de Ciclos de Latencia para Mosquitos
TRA029;42;56;Idade Maxima Mosquito com Dengue
