Codigo;Min;Max;Descricao
GER001;1.000;1.000;Intervalo em Ciclos entre as Posturas da Femea
GER002;3.000;8.000;Ciclos de Gestacao da Femea
GER003;4.000;8.000;Quantidade de Filhos Saudaveis Passados da Fase Ativa para Ovo
GER004;0.500;0.500;Fracao de Filhos Machos Saudaveis Passados da Fase Ativa para Ovo
GER005;0.700;0.700;Fracao de Postura da Femea Saudavel Decadente em Relacao a Femea Ativa
GER006;0.500;0.500;Fracao de Filhos Machos Saudaveis Passados da Fase Decadente para Ovo
GER007;4.000;8.000;Quantidade de Filhos Infectados Passados da Fase Ativa Para Ovo
GER008;0.500;0.500;Fracao de Filhos Machos Infectados Passados da Fase Ativa para Ovo
GER009;0.700;0.700;Fracao de Postura da Femea Infectada Decadente em Relacao a Femea Ativa
GER010;0.500;0.500;Fracao de Filhos Machos Infectados Passados da Fase Decadente para Ovo
GER011;10.000;10.000;Limite de Agentes na Fase Aquatica em cada Foco
